Date,Symbol,Price
2022.01.03,IBM,136.04
2022.01.04,IBM,138.02
2022.01.05,IBM,138.22
2022.01.06,IBM,135.34
2022.01.07,IBM,134.83
2022.01.10,IBM,135.03
2022.01.11,IBM,132.87
2022.01.12,IBM,133.59
2022.01.13,IBM,134.76
2022.01.03,AAPL,182.01
2022.01.04,AAPL,179.70
2022.01.05,AAPL,174.92
2022.01.06,AAPL,172.00
2022.01.07,AAPL,172.17
2022.01.10,AAPL,172.19
2022.01.11,AAPL,175.08
2022.01.12,AAPL,175.53
2022.01.13,AAPL,174.92
2022.01.03,MSFT,329.78
2022.01.04,MSFT,329.01
2022.01.05,MSFT,316.38
2022.01.06,MSFT,313.88
2022.01.07,MSFT,314.04
2022.01.10,MSFT,314.27
2022.01.11,MSFT,314.98
2022.01.12,MSFT,318.27
2022.01.13,MSFT,304.80
